58293,"10,000 BC",2008,3,91145
7541,100 Girls,2000,0,0
59834,100 Rifles,1969,3.3,243
6344,101 Reykjavík,2000,3.6,2003
3991,102 Dalmatians,2000,2.9,17460
2535,10.5,2004,0,0
49284,10 Items or Less,2006,3.3,11471
8017,10 Rillington Place,1971,3.9,564
2572,10 Things I Hate About You,1999,3.3,207830
55391,10th & Wolf,2006,3.1,9910
6168,10 to Midnight,1983,0,0
4408,11'09''01 - September 11,2002,3.5,303
27674,11:14,2003,3.6,6342
3583,1-2-3-4 ou Les Collants noirs,1960,0,0
1203,12 Angry Men,1957,4.1,22784
7444,13 Going on 30,2004,3.3,96034
6437,13 Rue Madeleine,1947,0,0
48872,13 Tzameti,2005,3.9,3433
53953,1408,2007,3.4,349462
8905,1492: Conquest of Paradise,1992,3,3372
4167,15 Minutes,2001,,
43936,16 Blocks,2006,3.2,31478
4311,1732 Høtten,1998,5,5
5472,1776,1972,3.8,2415
5043,17 sui de tian kong,2004,3.6,656
4462,18 Again!,1988,2.8,1550
7104,1941,1979,3,5333
1019,20000 Leagues Under the Sea,1954,3.2,7628
924,2001: A Space Odyssey,1968,3.7,46687
51498,2001 Maniacs,2005,,
2504,200 Cigarettes,1999,3,5146
2311,2010,1984,3.2,5956
27266,2046,2004,3.9,14211
2492,20 Dates,1998,0,0
5468,20 Million Miles to Earth,1957,0,0
58803,21,2008,3.7,112101
52767,21,1977,0,0
6953,21 Grams,2003,3.6,38037
2444,24 7: Twenty Four Seven,1997,3.9,451
5004,24 Hour Party People,2002,0,0
5954,25th Hour,2002,3.7,25056
56949,27 Dresses,2008,3.6,168630
3534,28 Days Later...,2002,3.6,107149
7566,28 Up,1985,4.2,565
53000,28 Weeks Later,2007,3.4,266576
8120,29th Street,1991,3.3,877
559,2 Days in Paris,2007,3.6,27100
999,2 Days in the Valley,1996,3,3984
6383,2 Fast 2 Furious,2003,3.1,176485
1164,2 ou 3 choses que je sais d'elle,1967,3.8,1050
51662,300,2006,4.1,476879
